critical
2101,3
7.46,61.26,5.878
7.47,61.32,5.87
7.48,61.38,5.863
7.49,61.44,5.855
7.5,61.49,5.847
7.51,61.55,5.839
7.52,61.61,5.83
7.53,61.67,5.822
7.54,61.73,5.813
7.55,61.79,5.804
7.56,61.84,5.795
7.57,61.9,5.786
7.58,61.96,5.777
7.59,62.02,5.767
7.6,62.07,5.758
7.61,62.13,5.748
7.62,62.19,5.737
7.63,62.25,5.727
7.64,62.3,5.717
7.65,62.36,5.706
7.66,62.42,5.696
7.67,62.47,5.685
7.68,62.53,5.674
7.69,62.59,5.662
7.7,62.64,5.651
7.71,62.7,5.639
7.72,62.76,5.628
7.73,62.81,5.616
7.74,62.87,5.604
7.75,62.93,5.592
7.76,62.98,5.579
7.77,63.04,5.566
7.78,63.09,5.554
7.79,63.15,5.541
7.8,63.2,5.528
7.81,63.26,5.515
7.82,63.31,5.501
7.83,63.37,5.488
7.84,63.42,5.474
7.85,63.48,5.46
7.86,63.53,5.446
7.87,63.59,5.432
7.88,63.64,5.418
7.89,63.7,5.403
7.9,63.75,5.389
7.91,63.8,5.374
7.92,63.86,5.359
7.93,63.91,5.344
7.94,63.96,5.329
7.95,64.02,5.314
7.96,64.07,5.298
7.97,64.12,5.282
7.98,64.18,5.266
7.99,64.23,5.25
8,64.28,5.235
8.01,64.33,5.218
8.02,64.39,5.202
8.03,64.44,5.185
8.04,64.49,5.168
8.05,64.54,5.152
8.06,64.59,5.135
8.07,64.64,5.117
8.08,64.69,5.1
8.09,64.75,5.083
8.1,64.8,5.065
8.11,64.85,5.047
8.12,64.9,5.029
8.13,64.95,5.012
8.14,65,4.994
8.15,65.05,4.976
8.16,65.1,4.957
8.17,65.15,4.938
8.18,65.2,4.92
8.19,65.24,4.901
8.2,65.29,4.882
8.21,65.34,4.863
8.22,65.39,4.844
8.23,65.44,4.824
8.24,65.49,4.805
8.25,65.54,4.786
8.26,65.58,4.766
8.27,65.63,4.746
8.28,65.68,4.726
8.29,65.73,4.706
8.3,65.77,4.686
8.31,65.82,4.665
8.32,65.87,4.644
8.33,65.91,4.624
8.34,65.96,4.603
8.35,66,4.583
8.36,66.05,4.561
8.37,66.09,4.54
8.38,66.14,4.519
8.39,66.19,4.497
8.4,66.23,4.476
8.41,66.27,4.454
8.42,66.32,4.432
8.43,66.36,4.41
8.44,66.41,4.389
8.45,66.45,4.367
8.46,66.49,4.344
8.47,66.54,4.322
8.48,66.58,4.299
8.49,66.62,4.277
8.5,66.67,4.255
8.51,66.71,4.232
8.52,66.75,4.208
8.53,66.79,4.185
8.54,66.84,4.162
8.55,66.88,4.14
8.56,66.92,4.116
8.57,66.96,4.092
8.58,67,4.069
8.59,67.04,4.045
8.6,67.08,4.022
8.61,67.12,3.997
8.62,67.16,3.973
8.63,67.2,3.949
8.64,67.24,3.925
8.65,67.28,3.901
8.66,67.32,3.876
8.67,67.36,3.851
8.68,67.39,3.827
8.69,67.43,3.802
8.7,67.47,3.778
8.71,67.51,3.752
8.72,67.55,3.727
8.73,67.58,3.702
8.74,67.62,3.677
8.75,67.66,3.652
8.76,67.69,3.626
8.77,67.73,3.6
8.78,67.76,3.575
8.79,67.8,3.549
8.8,67.84,3.524
8.81,67.87,3.498
8.82,67.91,3.471
8.83,67.94,3.445
8.84,67.97,3.419
8.85,68.01,3.394
8.86,68.04,3.367
8.87,68.08,3.34
8.88,68.11,3.313
8.89,68.14,3.287
8.9,68.18,3.261
8.91,68.21,3.233
8.92,68.24,3.206
8.93,68.27,3.179
8.94,68.3,3.152
8.95,68.33,3.126
8.96,68.37,3.098
8.97,68.4,3.07
8.98,68.43,3.043
8.99,68.46,3.016
9,68.49,2.989
9.01,68.52,2.96
9.02,68.55,2.932
9.03,68.58,2.904
